Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Drug_Reaction,stop_irritation,consult_nearest_hospital,stop_taking_drug,follow_up
Malaria,Consult_nearest_hospital,avoid_oily_food,avoid_non_veg_food,keep_mosquitos_out
Allergy,apply_calamine,cover_area_with_bandage,,use_ice_to_compress_itching
Hypothyroidism,reduce_stress,exercise,eat_healthy,get_proper_sleep
Psoriasis,wash_hands_with_warm_soapy_water,stop_bleeding_using_pressure,consult_doctor,salt_baths
GERD,avoid_fatty_spicy_food,avoid_lying_down_after_eating,maintain_healthy_weight,exercise
Chronic_cholestasis,cold_baths,anti_itch_medicine,consult_doctor,eat_healthy
hepatitis_A,Consult_nearest_hospital,wash_hands_through,avoid_fatty_spicy_food,medication
Osteoarthristis,acetaminophen,consult_nearest_hospital,follow_up,salt_baths
(vertigo)_Paroymsal_Positional_Vertigo,lie_down,avoid_sudden_change_in_body,avoid_abrupt_head_movment,relax
Hypoglycemia,lie_down_on_side,check_in_pulse,drink_sugary_drinks,consult_doctor
Acne,bath_twice,avoid_fatty_spicy_food,drink_plenty_of_water,avoid_too_many_products
Diabetes,have_balanced_diet,exercise,consult_doctor,follow_up
Impetigo,soak_affected_area_in_warm_water,use_antibiotics,remove_scabs_with_wet_compressed_cloth,consult_doctor
Hypertension,meditation,salt_baths,reduce_stress,get_proper_sleep
Peptic_ulcer_diseae,avoid_fatty_spicy_food,consume_probiotic_food,eliminate_milk,limit_alcohol
Dimorphic_hemmorhoids(piles),avoid_fatty_spicy_food,consume_witch_hazel,warm_bath_with_epsom_salt,consume_alovera_juice
Common_Cold,drink_vitamin_c_rich_drinks,take_vapour,avoid_cold_food,keep_fever_in_check
Chicken_pox,use_neem_in_bathing,consume_neem_leaves,take_vaccine,avoid_public_places
Cervical_spondylosis,use_heating_pad_or_cold_pack,exercise,take_otc_pain_reliver,consult_doctor
Hyperthyroidism,eat_healthy,massage,use_lemon_balm,take_radioactive_iodine_treatment
Urinary_tract_infection,drink_plenty_of_water,increase_vitamin_c_intake,drink_cranberry_juice,take_probiotics
Varicose_veins,lie_down_flat_and_raise_the_leg_high,use_oinments,use_vein_compression,dont_stand_still_for_long
AIDS,avoid_open_cuts,wear_ppe_if_possible,consult_doctor,follow_up
Paralysis_(brain_hemorrhage),massage,eat_healthy,exercise,consult_doctor
Typhoid,eat_high_calorie_vegitables,antiboitic_therapy,consult_doctor,medication
Hepatitis_B,consult_nearest_hospital,vaccination,eat_healthy,medication
Fungal_infection,bath_twice,use_detol_or_neem_in_bathing_water,keep_infected_area_dry,use_clean_cloths
Hepatitis_C,Consult_nearest_hospital,vaccination,eat_healthy,medication
Migraine,meditation,reduce_stress,use_poloroid_glasses_in_sun,consult_doctor
Bronchial_Asthma,switch_to_loose_cloothing,take_deep_breaths,get_away_from_trigger,seek_help
Alcoholic_hepatitis,stop_alcohol_consumption,consult_doctor,medication,follow_up
Jaundice,drink_plenty_of_water,consume_milk_thistle,eat_fruits_and_high_fiberous_food,medication
Hepatitis_E,stop_alcohol_consumption,rest,consult_doctor,medication
Dengue,drink_papaya_leaf_juice,avoid_fatty_spicy_food,keep_mosquitos_away,keep_hydrated
Hepatitis_D,consult_doctor,medication,eat_healthy,follow_up
Heart_attack,call_ambulance,chew_or_swallow_asprin,keep_calm,
Pneumonia,consult_doctor,medication,rest,follow_up
Arthritis,exercise,use_hot_and_cold_therapy,try_acupuncture,massage
Gastroenteritis,stop_eating_solid_food_for_while,try_taking_small_sips_of_water,rest,ease_back_into_eating
Tuberculosis,cover_mouth,consult_doctor,medication,rest
